gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
2L52.1,46,35,10,11,23,12,9,9
rga-9,24,45,54,19,17,30,4,2
pot-3,271,329,149,81,15,10,4,14
soc-2,164,196,159,45,10,12,1,2
AH10.2,1,0,3,0,1,1,1,1
mex-6,5771,12005,5016,1275,464,490,88,91
AH9.1,7,18,3,1,1,3,1,1
crn-4,594,476,501,177,27,26,2,8
AH9.3,231,706,146,82,9,13,13,21
AH9.4,0,2,0,0,1,1,2,1
lin-24,1092,725,754,444,62,48,1,2
B0001.2,1954,1799,832,489,131,149,11,18
B0001.3,505,750,397,148,20,24,11,11
B0001.4,581,570,481,195,63,78,3,3
B0001.5,392,785,375,128,36,26,15,14
eri-12,892,1206,704,176,42,42,31,23
B0001.7,948,2974,1142,269,151,139,137,121
B0001.8,806,1784,756,200,59,65,80,82
amx-2,0,0,8,0,2,1,1,1
B0019.2,771,673,546,327,88,80,13,14
asps-1,1427,1451,828,407,59,48,5,12
B0024.11,999,1470,742,274,50,53,15,37
gna-1,37,42,37,4,1,1,2,2
B0024.13,1310,1209,1169,589,57,52,2,5
crm-1,27,41,12,5,2,1,1,2
B0024.3,5,18,22,1,1,2,1,1
che-12,3,19,1,0,1,2,1,1
trx-2,162,171,202,109,5,15,1,3
vps-34,345,382,184,111,42,32,3,9
csn-2,1210,2518,1291,399,139,111,106,108
B0025.4,807,933,634,238,53,38,69,61
casy-1,102,111,29,21,10,14,4,6
B0034.4,1,0,1,0,1,1,1,1
B0034.5,3,8,6,0,1,1,1,1
leo-1,1286,3356,1593,398,149,113,144,128
sart-3,919,1049,387,240,116,165,12,10
dnj-1,253,235,152,70,10,15,3,1
B0035.15,674,481,377,289,38,39,1,5
mttu-1,294,203,189,52,5,14,3,3
B0035.18,162,128,238,144,7,9,3,5
znf-207,2489,4227,1877,711,111,83,42,54
dnj-2,416,386,342,134,24,31,1,3
B0035.21,2,2,0,1,1,1,1,1
B0035.3,1848,1799,1450,825,42,44,3,4
pfd-4,412,498,403,199,25,30,12,13
gspd-1,839,603,438,174,21,32,7,8
edg-1,1867,3270,1659,530,141,177,78,87
his-48,255,312,207,112,57,54,4,12
B0041.11,55,31,11,12,1,3,1,1
ain-2,213,1013,197,60,101,119,136,116
lmd-2,180,269,154,109,10,10,3,2
rpl-4,1903,1211,1358,822,32,49,1,2
B0041.5,1872,1359,1116,468,75,75,14,16
ptps-1,72,66,32,34,3,1,2,5
xnp-1,1177,1630,733,368,123,75,79,111
B0041.8,2375,1956,1701,707,72,64,38,56
bath-24,33,16,22,4,2,1,1,1
math-1,11,0,0,0,2,1,1,1
tsp-20,17,17,5,0,1,2,1,1
B0198.2,7,11,0,0,1,1,1,1
B0198.3,1,0,0,0,1,1,1,1
mrpl-9,877,959,941,372,26,26,9,8
B0205.12,13,13,68,35,1,2,1,1
B0205.13,4,0,0,0,1,1,1,1
B0205.14,1,0,0,0,1,1,1,1
B0205.1,624,1476,528,191,101,71,66,77
rpn-10,2281,7461,2337,763,149,112,328,318
B0205.6,365,1223,382,114,31,19,40,33
kin-3,1018,4809,1472,297,195,213,44,78
B0205.8,542,919,428,150,18,21,48,25
B0205.9,1048,2487,806,237,80,80,101,129
avr-14,7,7,2,0,1,1,2,2
B0207.2,13,24,3,5,4,2,1,3
gpa-14,1,3,0,0,1,1,1,1
air-2,1023,2821,1114,206,80,57,73,64
B0207.5,3,1,2,0,1,1,1,1
B0207.6,712,708,377,199,33,37,7,2
otpl-1,3,7,4,1,2,1,1,1
B0212.3,280,1370,367,103,42,17,36,37
nstp-6,58,42,15,2,1,2,4,2
osm-9,1,0,0,0,1,1,1,1
cyp-34A6,8,4,0,1,1,1,1,1
cyp-34A8,1,0,0,0,1,1,1,1
nlp-31,0,1,0,0,1,1,1,1
faah-1,30,26,27,12,2,3,1,1
faah-2,35,68,17,8,7,2,3,4
pmk-1,171,220,111,58,20,23,5,5
B0222.1,0,0,5,0,1,1,1,1
gad-3,0,3,0,0,2,3,3,1
cpna-2,0,1,0,0,3,1,1,1
B0228.6,46,44,73,5,8,3,1,1
B0228.7,123,117,74,32,5,5,3,1
B0238.1,3,21,21,4,1,3,3,3
natc-2,872,926,718,312,29,51,31,28
B0238.11,1271,1367,1179,508,75,89,8,50
B0238.15,49,69,20,19,2,1,1,1
B0238.9,783,1464,523,214,53,79,2,20
rhr-2,6,0,0,0,1,1,1,1
spe-42,0,11,1,0,1,1,1,1
npp-22,3684,5652,3049,1092,175,169,66,87
B0244.17,0,0,1,0,1,1,1,1
ida-1,0,9,0,0,3,1,1,1
egg-1,2324,2912,645,342,108,129,2,9
B0244.9,0,1,3,0,1,1,1,1
rpl-2,1178,816,1039,501,53,44,1,7
calf-1,0,9,0,0,1,1,1,1
B0250.5,678,887,570,171,24,37,5,4
B0250.7,0,3,2,0,1,1,1,1
dhcr-7,18,23,13,2,3,1,1,2
asm-1,0,1,0,0,1,1,1,1
B0252.3,10,10,2,5,1,2,1,2
cyn-10,1067,1759,1093,405,41,58,41,40
B0261.1,1125,1251,644,309,112,101,36,41
let-363,1328,3294,1165,472,410,371,142,106
mrpl-47,419,379,304,211,15,26,1,3
B0261.6,1,6,0,0,1,1,1,1
B0261.7,4185,3628,2975,1464,91,100,6,20
B0261.8,64,67,89,16,5,6,3,7
B0261.9,2,8,2,2,1,1,1,1
tbb-4,0,0,1,0,1,1,1,1
memb-1,200,751,340,55,16,8,19,25
B0272.3,1583,3366,1480,559,50,37,106,77
B0273.1,0,5,1,0,1,1,1,1
puf-7,3249,3986,2251,837,108,136,15,32
snpc-3.1,61,53,27,17,1,3,2,1
unc-5,130,211,114,31,8,13,5,11
pot-1,204,157,143,54,14,21,3,8
glr-2,0,2,0,0,1,1,1,1
B0280.17,5,1,0,0,1,1,1,1
ggtb-1,2099,3490,1551,526,35,42,60,90
rpia-1,596,469,439,185,14,24,2,4
odd-1,0,1,0,2,1,1,1,1
cpg-2,17471,14123,2401,2202,502,917,4,153
nhr-10,195,593,205,37,19,14,40,34
B0280.9,1132,1335,875,373,62,85,28,20
B0281.4,1,10,4,0,1,1,1,1
B0281.5,129,215,135,24,11,17,1,6
B0281.8,1,0,0,0,1,1,1,1
pals-27,1,0,0,0,1,1,1,1
B0284.3,0,2,1,0,1,1,1,1
cdk-12,359,1052,378,108,169,148,124,136
B0285.3,747,970,433,230,31,26,13,13
lcmt-1,763,1872,673,232,55,58,85,69
hse-5,1208,2015,843,280,92,80,7,15
mnp-1,12,40,15,3,1,1,5,2
ckb-1,37,30,4,3,2,4,5,2
ckb-2,241,544,335,114,27,28,31,49
B0286.1,4,1,0,5,1,1,1,1
pacs-1,20,87,37,3,2,1,3,1
ntl-2,760,1311,497,204,55,59,31,19
try-9,0,0,0,1,1,1,1,1
sid-3,461,824,372,167,66,68,17,21
B0302.2,0,3,0,0,1,1,1,1
B0303.11,2,3,1,2,1,1,1,1
B0303.14,69,85,69,15,3,9,3,3
mrpl-11,497,340,333,205,54,48,4,4
anmt-1,1,0,4,0,1,1,1,1
B0303.3,1644,8406,2070,457,137,103,167,181
B0303.4,1149,1511,750,274,150,129,11,17
B0303.7,278,748,402,86,36,24,13,17
sdz-1,0,0,1,0,1,1,1,1
vps-33.1,280,280,127,56,15,6,1,1
hlh-1,0,1,2,1,1,1,1,1
B0304.2,987,920,599,313,32,28,4,6
B0304.4,313,328,331,153,11,7,10,5
sra-32,67,16,30,7,2,5,1,1
sra-33,3,0,2,0,1,1,1,1
sra-35,4,0,1,3,1,1,1,1
B0310.2,39,149,49,5,4,5,6,12
cyp-29A4,0,3,0,0,1,1,1,1
ooc-3,979,1735,872,320,77,88,52,50
B0334.13,2,1,0,1,1,1,1,1
emc-5,225,268,162,42,30,24,17,17
twk-5,14,8,4,0,1,1,1,1
B0334.3,900,1482,710,346,47,59,17,26
B0334.4,1859,1932,1450,589,131,136,22,33
B0334.5,828,709,332,131,34,39,1,3
B0334.6,9,11,5,0,1,1,2,1
age-1,1260,3955,1042,368,166,154,163,137
rpl-23,1953,1787,1524,792,32,66,1,1
hpo-28,6,3,1,0,1,2,1,1
B0336.13,704,1379,821,320,34,26,35,15
wrm-1,156,625,216,33,37,30,28,32
arf-1.2,921,5627,1047,147,81,96,90,113
rbm-26,569,1277,711,177,308,273,217,211
rgs-5,137,403,163,45,4,10,7,1
arle-14,954,2484,985,349,41,32,46,51
abi-1,4311,3246,2187,1355,192,225,1,7
B0336.7,783,683,440,296,49,55,3,10
lgg-3,801,769,583,325,25,23,4,5
swp-1,613,770,324,131,15,36,53,39
egl-8,139,136,69,29,13,19,1,7
B0348.5,6,1,0,1,1,1,1,1
ife-3,764,1251,731,299,87,128,41,45
unc-44,271,829,320,93,50,57,13,20
B0353.1,49,73,60,18,5,8,5,1
ykt-6,323,1733,511,73,27,33,80,69
B0361.2,831,2316,770,280,77,67,97,81
B0361.3,885,1183,573,266,55,42,48,43
B0361.4,0,2,0,0,1,1,1,1
psd-1,831,887,576,202,46,42,5,8
B0361.6,1069,786,668,429,63,92,3,2
pho-5,624,745,508,264,20,25,1,1
algn-11,2419,4934,1385,619,74,121,83,71
B0361.9,43,147,42,4,3,1,2,8
acly-2,836,804,268,203,73,62,1,7
eat-6,6410,6884,4534,1894,440,673,7,103
dhc-3,0,0,2,0,1,1,1,1
B0379.1,1,0,0,1,1,1,1,1
mut-16,1323,3408,1339,445,304,248,241,260
scpl-1,387,855,223,48,30,40,1,1
fbxa-153,219,185,156,71,5,15,4,1
