table.gene_name,table.logFC,table.logCPM,table.F,table.PValue,table.FDR,adjust.method,comparison,test
ctc-2,-8.311616209425095,10.396635251778564,105.79196421999607,2.0824628959529633e-7,6.945376670690107e-4,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ctb-1,-6.607869136304474,8.87058917838423,105.38550759245528,2.1275468435258408e-7,6.945376670690107e-4,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ctc-3,-6.511282421856776,9.814898602614635,94.78291307947003,3.8256597082272846e-7,8.325910745005314e-4,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ndfl-4,-8.209887340812863,7.726025316048357,87.79145197111205,5.822194525107022e-7,9.274103784903604e-4,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
atp-6,-7.002437940677994,9.09586185422095,84.57023759492589,7.136623455993713e-7,9.274103784903604e-4,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nduo-3,-7.620778126094442,8.270812899538885,81.8471825982088,8.522686890706329e-7,9.274103784903604e-4,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nduo-4,-6.9315760998721325,6.946632186770067,77.11465319271424,1.1750882003349206e-6,0.0010960215514266708,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
R07B7.2,-5.708017292309111,6.793130965552262,66.03319640781424,2.6813155772149216e-6,0.002188288675454528,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ctc-1,-7.45956627825931,11.231231300531688,64.4628693139968,3.0425594665407425e-6,0.002207207861893834,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ZC155.4,-5.426479222020551,7.962521384155178,62.90827147797082,3.4571197410115495e-6,0.0022571534789064406,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
atg-18,-4.400844434048627,7.314736661036525,58.525286058217866,5.030639041693737e-6,0.002985912936656219,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nduo-2,-5.947868442750303,6.534378858278266,55.41409263166736,6.662000386540609e-6,0.0036246833769769697,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
eif-2Bdelta,-4.081932607350307,6.583220198845821,54.32743823303865,7.371525354296078e-6,0.003631973649203406,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F13B12.6,-4.070445961835792,6.564429641062934,52.98688072159303,8.371364261004758e-6,0.003631973649203406,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
bath-43,-4.27263017245178,7.218938934844974,52.65097611109459,8.646064189316287e-6,0.003631973649203406,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
R12C12.6,-5.305136080358274,6.6778029969044175,52.35070075220083,8.900532759573365e-6,0.003631973649203406,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
his-64,-3.9603212981189055,6.827066914153409,51.27150096813828,9.889840411090049e-6,0.003798280473176878,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gen-1,-4.6655878995145805,7.47996184562504,49.244138518044686,1.2116028056002195e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gly-3,-4.6492618139111945,6.569695946679462,48.08888630538387,1.3643863382122013e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
emb-8,-4.454106522918045,7.506547421477137,47.353770234585234,1.4732756486814413e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pak-2,-4.074589234635739,7.6678224372711306,46.43589976655557,1.6237333664875908e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y87G2A.13,-4.679016183749356,5.147786716299049,46.16055799326675,1.672301269640076e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F25B5.6,-4.631346637391908,7.497272390080187,46.07834872993588,1.6871283292166487e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C48B4.11,-5.253866719963299,7.463611156384921,45.53209250274877,1.789625547628563e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
R07H5.8,-4.941093713796688,7.725968762141501,45.250311517641116,1.8453202419342773e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
H27A22.1,-4.362271451758088,7.05847112552422,45.10266592376915,1.875306310561177e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rpl-7,-4.788425022774,7.232121139178932,44.76601578511309,1.9458224489491736e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pfkb-1.2,-4.7882480931907185,7.762938462250551,44.388791011088,2.028530714065008e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y71H2AM.9,-4.705686344029532,5.371642399063213,44.357503978741626,2.0355722808164146e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
lst-6,-3.6503014393056312,6.812393372579671,44.27472798044053,2.054339638588303e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C06A5.6,-4.135907315233151,6.795943422105181,43.362407676249546,2.275099473127718e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rpl-25.2,-3.93604271305679,7.387050124256087,42.97860358731809,2.3761362494348322e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F31D4.2,-4.037367052018821,6.534058135715042,42.81954327665385,2.4195320067426333e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C50D2.7,-4.807611441520786,5.651671188202433,42.799518371478676,2.4250603742607743e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
his-67,-3.552593948274557,8.080955004156069,42.21658462048818,2.5926212919963692e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y50D7A.3,-4.167997222002928,6.098283693737305,42.18858874130625,2.601001531820894e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ctns-1,-6.121865529778059,7.753208550378601,42.060936964581806,2.6396141410531647e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
coa-4,-3.750294547915681,6.072445154911877,41.978537903920476,2.664892598789971e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F57B10.5,-4.224095186276148,6.754628867664087,41.94981521708861,2.6737702635473714e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cebp-2,-4.761692689379347,5.603349339373284,41.782408297580595,2.7262024078990603e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
W01A11.1,-3.8871260044543128,7.197975237120788,41.77272127022903,2.7292728195070038e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y66D12A.21,-4.856606337675585,6.472114788554339,41.70812578778312,2.7498502099875596e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F15D3.6,-4.785393929868463,5.9658279322319725,41.40960474034453,2.8473215060051825e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
his-6,-5.0231920626891,4.826380296280906,41.25018366603668,2.9010181186731165e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hrde-2,-4.65991750483737,7.262169034436663,41.2448402707328,2.9028381920137823e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T20D3.8,-5.778035445156951,7.4002464286135785,41.048078577097,2.9707935568802038e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cutc-1,-4.394187652450847,6.698768751021934,40.82248382034461,3.05099579458529e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ntp-1,-4.393199599645475,6.8132477180054005,40.67769388522666,3.1037976504543995e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
B0001.4,-3.9648146961493347,6.327915608280328,40.66235074934308,3.109454999005287e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
alg-5,-3.222548285134705,8.375437739574483,40.6222283215822,3.124305787892295e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ola-1,-3.9525662416764553,8.032989600156705,40.42940387501622,3.196838262869697e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
exos-4.2,-5.275255797448953,4.988868051677446,40.29779152339381,3.247470437667235e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F23A7.8,-5.814214213969507,11.907326125194071,40.12908018444917,3.313745123291683e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hpo-27,-4.411195929845784,7.4572466644941064,40.06681839002026,3.3385997993211915e-5,0.004036614461068159,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T12G3.2,-4.104617696278749,6.428535303137463,39.72532912330394,3.478839582956682e-5,0.004129698843113487,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mthf-1,-3.587781732463228,7.557953045127925,39.55958667991328,3.549368277369598e-5,0.004138183121954662,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mrpl-18,-3.857666902872878,6.501625870629816,39.27250350252437,3.6755052965799535e-5,0.004210065628310617,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
plk-3,-4.207176726149455,6.617646828013349,38.888924293748474,3.8522675670041464e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
