table.gene_name,table.logFC,table.logCPM,table.F,table.PValue,table.FDR,adjust.method,comparison,test
pcyt-1,2.887164631337388,6.2446395644976445,36.64272487842131,5.109941759795355e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cnp-3,2.7482655972249206,6.652451205332961,30.019045206842545,1.2798459625595145e-4,0.005650417378928549,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hmp-2,2.9454388150398714,8.741453869829012,29.157614571158,1.4578293397432513e-4,0.005799844016597505,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F55H2.7,2.642684982672415,7.5353914418154435,28.908361678643992,1.514594381833463e-4,0.005836711572885575,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
fbxc-47,2.9501858382955404,5.736715358042517,28.88628856919129,1.5197441681582904e-4,0.005836711572885575,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
unc-85,3.4786218082986666,8.284718885964036,28.323580326379254,1.65817393079551e-4,0.006021997021858492,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
M57.2,2.5599248116075968,7.815142059696524,26.535198587829758,2.206351340953389e-4,0.006731433600506858,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y71H2AM.11,2.6369572608727703,7.319298171550405,25.901696045815886,2.4493252170887386e-4,0.007122112480283342,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mcd-1,2.4063414699793375,7.662027532375138,25.72929516578503,2.5207494273535747e-4,0.007124663641208437,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cdc-25.3,2.570484492040804,9.119966801239809,24.429219306401507,3.1449340377373054e-4,0.007865289287863626,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T07A9.10,2.4715746818136206,6.885267782435323,23.47597464832381,3.718328474622563e-4,0.008314029661236545,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K01A2.5,4.642981242902021,2.8146837511547216,23.39914587065983,3.769625533346265e-4,0.008343011900751785,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
vet-2,2.7610282626099467,7.843284180282207,23.197850563670453,3.9079823104950297e-4,0.00835336449438989,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
sir-2.4,2.641492015373716,5.712162679776005,22.961718365975532,4.077887500094938e-4,0.008479148881566832,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ceh-39,2.5467697260432813,6.980233670508348,22.87048478866197,4.1458264225374924e-4,0.008529308614038453,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mbf-1,2.337365564911631,7.4198937357560615,22.85559639374922,4.157038040154272e-4,0.008529308614038453,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
obr-1,2.4002128739855735,6.490698589794732,22.656454538542455,4.310447735728377e-4,0.008632795480543121,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rsp-8,2.899910569598718,8.609049353437966,22.489085617746763,4.444497818162709e-4,0.008740399474332628,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C54C6.6,2.746872971225404,6.742357606195745,22.388222482227278,4.5276253977232146e-4,0.008850558749022415,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y119D3B.12,2.3815195169394543,6.18740924028623,22.07416139154346,4.798301977164614e-4,0.009107092496717494,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F14H3.6,2.7825920440378145,10.257582241135118,22.06759298664221,4.8041610695655587e-4,0.009107092496717494,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y34D9A.7,3.0336601731469024,7.169489148381521,22.058490644317008,4.8122942431728217e-4,0.009107092496717494,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gpd-4,2.9672449414517073,7.869430254955615,21.908789140022268,4.9483846165873e-4,0.009142914984976927,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
exc-4,2.545962244815478,6.755517603759983,21.740448363183507,5.106807367452431e-4,0.009185825033608326,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K09E9.3,2.0513081792209285,7.111487713020122,21.705804928298395,5.140138349538184e-4,0.009185825033608326,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y57G11C.33,3.195229931888096,7.575533300058319,21.655147927847313,5.189333472733726e-4,0.009228541648880262,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mct-5,2.1365943291914355,7.879417935812622,21.433727769083156,5.410904663101223e-4,0.0095066755483391,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tiar-2,2.4667087255386173,6.856739151257537,21.31148682882319,5.537943578038362e-4,0.009590778148809672,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
lid-1,2.790891689497683,7.9730768705711865,21.192385526488632,5.665073300411555e-4,0.009660500376182027,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y48G10A.1,2.3063589673291167,7.3140583627515365,21.14978422267498,5.711369497941893e-4,0.009660500376182027,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K01G12.3,2.2487502989305335,6.121255940433197,21.102945991649815,5.762779618914047e-4,0.009691089862231628,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y56A3A.7,2.3511022408118865,5.779527494288481,20.889354174283532,6.004162934721488e-4,0.009874352594659092,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C37C3.9,2.7162985684032974,9.489187029389937,20.815767329138758,6.090038352077317e-4,0.009965378546544564,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C08F8.3,2.3148322123437333,8.375349229289824,20.441734870107013,6.549290999653726e-4,0.01033323048245143,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F21D5.5,2.176937086635387,6.224408234764316,20.386797746224282,6.620090424152461e-4,0.010344792835647881,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
